#MJD	g	gerr	r	rerr
58217.83	NaN	NaN	NaN	NaN
58222.79	NaN	NaN	20.35	0.04
58223.82	20.11	0.05	20.25	0.23
58226.78	20.39	0.32	20.12	0.03
58227.82	20.48	0.04	20.20	0.22
58229.87	20.54	0.32	20.17	0.03
58230.85	20.54	0.04	20.16	0.22
58232.89	20.71	0.35	20.17	0.20
58237.74	21.04	0.20	20.08	0.22
58242.82	21.02	0.40	19.97	0.02
58245.86	21.02	0.35	19.91	0.02
58246.81	21.07	0.04	19.99	0.21
58249.77	20.94	0.38	20.18	0.09
58252.90	20.85	0.36	19.80	0.02
58254.91	20.80	0.05	19.92	0.21
58256.76	20.80	0.35	19.88	0.02
58261.74	20.80	0.12	19.85	0.21
58261.81	20.82	0.33	20.02	0.06
58266.77	20.92	0.38	19.74	0.04
58269.77	21.01	0.07	19.75	0.21
58269.85	20.97	0.32	19.68	0.02
58272.77	20.99	0.08	19.71	0.21
58273.83	20.87	0.32	19.67	0.02
58276.77	20.65	0.07	19.66	0.21
58278.76	20.64	0.31	19.70	0.03
58279.81	20.56	0.07	19.63	0.21
58282.81	20.63	0.32	19.59	0.03
58283.77	20.71	0.05	19.58	0.21
58285.82	20.58	0.34	19.56	0.02
58288.85	20.37	0.04	19.51	0.21
58289.74	20.59	0.32	19.57	0.03
58292.71	20.93	0.08	19.46	0.21
58292.75	20.76	0.31	19.38	0.02
58295.72	20.68	0.12	19.43	0.21
58295.76	20.76	0.31	19.39	0.03
58298.72	20.79	0.14	19.41	0.21
58298.76	20.77	0.32	19.35	0.04
58302.84	20.78	0.33	19.49	0.08
58303.72	20.77	0.10	19.39	0.21
58306.68	20.79	0.32	19.41	0.05
58306.73	20.80	0.12	19.37	0.21
58312.70	20.78	0.33	19.41	0.04
58312.83	20.80	0.14	19.36	0.21
58315.74	20.74	0.38	19.28	0.04
58318.85	20.68	0.36	19.39	0.02
58320.67	20.63	0.08	19.40	0.21
58322.74	20.62	0.33	19.31	0.03
58324.76	20.60	0.13	19.46	0.21
58326.78	20.61	0.32	19.57	0.07
58328.68	20.57	0.12	19.54	0.21
58329.80	20.71	0.31	19.58	0.03
58331.75	20.84	0.08	19.62	0.21
58332.81	20.94	0.33	19.61	0.10
58336.70	21.20	0.33	19.69	0.05
58336.74	21.36	0.24	19.77	0.22
58344.68	NaN	NaN	20.13	0.09
58349.74	NaN	NaN	20.13	0.04
58353.64	NaN	NaN	20.34	0.05
58356.76	NaN	NaN	20.69	0.18
58359.76	NaN	NaN	20.39	0.10
58365.64	NaN	NaN	20.58	0.10
58369.62	NaN	NaN	20.62	0.10
58372.64	NaN	NaN	20.60	0.08
58376.62	NaN	NaN	20.71	0.07
58381.64	NaN	NaN	20.91	0.13
